"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BWG","BrandywineGLOBAL Global Income Opportunities Fund ","11.57","$242.85M","2012","n/a","n/a","https://www.nasdaq.com/symbol/bwg",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","4.248","$228.55M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/lnd",
"BRFS","BRF S.A.","7.32","$5.94B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/brfs",
"BDGE","Bridge Bancorp, Inc.","28.37","$563.24M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bdge",
"BLIN          ","Bridgeline Digital, Inc.","2.5","$2.38M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/blin",
"BWB","Bridgewater Bancshares, Inc.","11.38","$342.2M","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/bwb",
"BRID","Bridgford Foods Corporation","28.98","$263.05M","n/a","Consumer Non-Durables","Specialty Foods","https://www.nasdaq.com/symbol/brid",
"BGG","Briggs & Stratton Corporation","9.8","$412.17M","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bgg",
"MNRL","Brigham Minerals, Inc.","20.36","$1.03B","2019","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/mnrl",
"BFAM","Bright Horizons Family Solutions Inc.","141.2","$8.2B","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BEDU","Bright Scholar Education Holdings Limited","9.95","$293.42M","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/bedu",
"BCOV","Brightcove Inc.","10.45","$395.43M","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/bcov",
"BHF","Brighthouse Financial, Inc.","38","$4.4B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/bhf",
"BHFAL","Brighthouse Financial, Inc.","26.25","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/bhfal",
"BHFAP","Brighthouse Financial, Inc.","26.8","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/bhfap",
"BSA","BrightSphere Investment Group plc","24.01","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsa",
"BSIG","BrightSphere Investment Group plc","10.98","$1.01B","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsig",
"BV","BrightView Holdings, Inc.","18.6","$1.95B","2018","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/bv",
"EAT","Brinker International, Inc.","38.08","$1.43B","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/eat",
"BCO","Brink&#39;s Company (The)","82.61","$4.12B","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/bco",
"BMY","Bristol-Myers Squibb Company","48.61","$79.51B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bmy",
"BTI","British American Tobacco p.l.c.","35.47","$81.36B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/bti",
"BRX","Brixmor Property Group Inc.","18.54","$5.52B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/brx",
"AVGO","Broadcom Inc.","277.49","$110.46B","2009","Technology","Semiconductors","https://www.nasdaq.com/symbol/avgo",
"BR","Broadridge Financial Solutions, Inc.","130.56","$15.16B","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"BVSN","BroadVision, Inc.","1.44","$7.28M","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bvsn",
"BYFC","Broadway Financial Corporation","1.32","$36.8M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/byfc",
"BWEN","Broadwind Energy, Inc.","2.3","$36.77M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/bwen",
"BKD","Brookdale Senior Living Inc.","6.61","$1.23B","2005","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/bkd",
"BAM","Brookfield Asset Management Inc","48.08","$47.8B","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/bam",
"BBU","Brookfield Business Partners L.P.","40.09","$2.65B","2016","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bbu",
"DTLA^","Brookfield DTLA Inc.","20.53","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dtla^",
"INF","Brookfield Global Listed Infrastructure Income Fund","12.74","$171.78M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/inf",
"BIP","Brookfield Infrastructure Partners LP","42.5","$11.89B","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/bip",
"BPY","Brookfield Property Partners L.P.","19.24","$7.96B","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/bpy",
"BPYPP","Brookfield Property Partners L.P.","25.2","$161.28M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/bpypp",
